"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Login as free user, navigate home, find a VIP-only content card and tap it. Verify the VIP upgrade/comparison screen appears and the player does NOT launch.","146736","TC-07 — Free user taps VIP content → upgrade screen appears, video not playable","tests.p1_smoke","2026-07-07","passed","2026-07-07","","VIP Paywall","",""
"From home screen, verify D-pad DOWN moves focus to new rows and D-pad RIGHT moves focus across cards within a row. Test covers at least 3 rows and 3 cards.","56611","TC-22 — Home screen D-pad navigates focus across rows and cards","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Home Navigation","",""
"Verify free user can log in with email + password and reach the Switch Profile screen","80612","Free user — login → Switch Profile screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Login","",""
"Continue from TC-01 — select first profile and verify home screen shows Limited Free badges on thumbnails","31943","Free user — select profile → home shows Limited Free badges","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Login","",""
"Submit a valid email with a wrong password. Verify an error modal appears ('Sorry') and the user remains on the login screen (Switch Profile screen does NOT appear).","80259","TC-06 — Wrong password → error modal appears, user stays on login screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Authentication","",""
"Record the baseline following count. Open a channel via Explore. Click Follow → verify 'Following'. Navigate to Watchlist → following tab → assert count increased. Cleanup: navigate back to channel → unfollow (non-fatal).","320828","TC-17 — Follow channel → verify count increases in Watchlist following tab","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Watchlist","",""
"From home screen, open the side drawer and navigate to Watchlist. Verify the Watchlist screen loads and shows the expected tabs: following, my list, history.","108381","Watchlist screen — tabs visible","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Watchlist","",""
"TC-23: D-pad to a card on home → OK → player launches full-screen.","22379","test_tc23_home_navigate_and_play","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Home Navigation","",""
"Navigate to Watchlist and tap the 'history' tab. Verify the history tab is selectable and the screen renders without crash. (Full watch-history population requires prior playback — this test verifies the tab is present and accessible.)","11998","TC-16 — Watch history tab appears on Watchlist screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Watchlist","",""
"","117303","test_channel_detail_page_source","tests.p1_smoke","2026-07-07","passed","2026-07-07","","test_debug_cards","",""
"From Switch Profile, tap Parents Area → PIN screen → enter wrong PIN → 'Incorrect PIN' error shown, screen does not navigate away","87206","TC-05d — Parental gate — wrong PIN shows error","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Parental Gate","",""
"While in full-screen player, press OK multiple times (pause/resume). Verify app stays in full-screen player mode without crashing or navigating away. Screenshots are attached for visual verification of pause/resume state.","111283","TC-09 — OK press during playback does not crash player","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Player","",""
"On Switch Profile screen, select a parents-type profile. Verify the app shows the parental PIN entry screen before granting access.","88482","TC-05b — Select parents profile → PIN screen appears","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Profile Selection","",""
"From home screen, press OK on focused content. Verify the player opens (page source becomes sparse = full-screen video active) within 20s and the app does not crash.","91552","TC-08 — Navigate to video → player loads in full-screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Player","",""
"Verify VIP user can log in with email + password and reach the Switch Profile screen","78805","VIP user — login → Switch Profile screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Login","",""
"Navigate to a video, note its title. Enter the player and add the video to My List via D-pad blind navigation. Navigate to Watchlist → My List tab and verify the video title appears. Cleanup: open the video from My List → enter player → remove it.","356035","TC-15 — Add video to My List via player overlay → verify in Watchlist → remove","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Watchlist","",""
"On Switch Profile screen, select a kids (non-parents) profile. Verify the app navigates directly to the home screen without asking for a PIN.","108670","TC-05a — Select kids profile → home loads, no PIN required","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Profile Selection","",""
"While in full-screen player, press Back. Verify the app leaves the player and lands on a content or home screen.","19051","TC-10 — Back button exits player → returns to content screen","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Player","",""
"From Switch Profile, tap Parents Area → PIN screen → enter correct PIN → navigates to Settings (parental gate passes)","87959","TC-05c — Parental gate — correct PIN grants access","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Parental Gate","",""
"Continue from TC-03 — select first profile and verify home screen shows VIP badges on thumbnails","30591","VIP user — select profile → home shows VIP badges","tests.p1_smoke","2026-07-07","passed","2026-07-07","","Login","",""
